CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
1,MR.,JON,YANG,8/04/1966,M,M,jon24@adventure-works.com,90000,2,Bachelors,Professional,Y
2,MR.,EUGENE,HUANG,14/05/1965,S,M,eugene10@adventure-works.com,60000,3,Bachelors,Professional,N
3,MR.,RUBEN,TORRES,12/08/1965,M,M,ruben35@adventure-works.com,60000,3,Bachelors,Professional,Y
4,MS.,CHRISTY,ZHU,15/02/1968,S,F,christy12@adventure-works.com,70000,0,Bachelors,Professional,N
5,MRS.,ELIZABETH,JOHNSON,8/08/1968,S,F,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,Y
6,MR.,JULIO,RUIZ,5/08/1965,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,Y
7,MR.,MARCO,MEHTA,9/05/1964,M,M,marco14@adventure-works.com,60000,3,Bachelors,Professional,Y
8,MRS.,ROBIN,VERHOFF,7/07/1964,S,F,rob4@adventure-works.com,60000,4,Bachelors,Professional,Y
9,MR.,SHANNON,CARLSON,1/04/1964,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,N
10,MS.,JACQUELYN,SUAREZ,6/02/1964,S,F,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,N
11,MR.,CURTIS,LU,4/11/1963,M,M,curtis9@adventure-works.com,60000,4,Bachelors,Professional,Y
12,MRS.,LAUREN,WALKER,18/01/1968,M,F,lauren41@adventure-works.com,100000,2,Bachelors,Management,Y
13,MR.,IAN,JENKINS,6/08/1968,M,M,ian47@adventure-works.com,100000,2,Bachelors,Management,Y
14,MRS.,SYDNEY,BENNETT,9/05/1968,S,F,sydney23@adventure-works.com,100000,3,Bachelors,Management,N
15,MS.,CHLOE,YOUNG,27/02/1979,S,F,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,N
16,MR.,WYATT,HILL,28/04/1979,M,M,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,Y
17,MRS.,SHANNON,WANG,26/06/1944,S,F,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,Y
